OBJECTID,StreetNode,CaptureDate,StreetOn,StreetFrom,StreetTo,CountFirst,CountSecond,TotalVolume,StreetClassification,DirectionFirst,DirectionSecond,Shape__Length
1,0,2019/09/25 07:00:00+00,Continental Dr,College,McAllister,972,830,1802,1,East Bound,West Bound,2639.31523272374
2,1,2018/03/27 07:00:00+00,College Ave,Continental,McKellips,3995,4325,8320,1,North Bound,South Bound,2627.83308910768
3,2,2022/04/13 07:00:00+00,Scottsdale Rd,Continental,McKellips,15339,15107,30446,0,North Bound,South Bound,2633.26534577556
4,3,2019/09/25 07:00:00+00,McKellips Rd,Scottsdale,McClintock,6396,6843,13239,0,East Bound,West Bound,5260.32837494322
5,4,2018/02/22 07:00:00+00,McKellips Rd,College,Scottsdale,2830,3120,5950,0,East Bound,West Bound,2672.61391724943
6,5,2018/03/27 07:00:00+00,College Ave,McKellips,Curry,3354,3648,7003,1,North Bound,South Bound,4405.61926500791
7,6,2022/03/16 07:00:00+00,Scottsdale Rd,McKellips,Curry,15815,14842,30657,0,North Bound,South Bound,3977.70215066633
8,7,2019/11/20 07:00:00+00,McClintock Dr,McKellips,Curry,10911,8664,19575,0,North Bound,South Bound,3965.94152289996
9,8,2022/03/02 07:00:00+00,Curry Rd,Scottsdale,McClintock,4151,3679,7830,0,East Bound,West Bound,5124.75526687849
10,9,2022/02/23 07:00:00+00,Curry Rd,College,Scottsdale,5457,4749,10206,0,East Bound,West Bound,1379.77824731677
11,10,2022/03/02 07:00:00+00,Curry Rd,Mill,College,5668,6323,11991,0,East Bound,West Bound,4008.49449460655
12,11,2022/02/23 07:00:00+00,Mill Ave,n/o,Washington,3196,2721,5917,0,North Bound,South Bound,4242.50784523996
13,12,2022/02/23 07:00:00+00,Washington St,Priest,Mill,3898,3919,7817,0,East Bound,West Bound,4689.54121802812
14,13,2022/02/16 07:00:00+00,Washington St,56th,Priest,5174,4674,9848,0,East Bound,West Bound,1762.85287975745
15,14,2022/02/23 07:00:00+00,Priest Dr,Van Buren,Washington,3904,4477,8381,0,North Bound,South Bound,2465.29051015964
16,15,2022/02/23 07:00:00+00,Priest Dr,Washington,202,7981,6413,14394,0,North Bound,South Bound,1653.63943235992
17,16,2022/04/20 07:00:00+00,Rio Salado,Priest,Hardy,4964,5454,10418,0,East Bound,West Bound,2741.11757270833
18,17,2022/04/13 07:00:00+00,Mill Ave,Curry,University,7565,6489,14054,0,North Bound,South Bound,5936.40767398003
19,18,2022/02/16 07:00:00+00,Scottsdale Rd,Curry,Rio Salado,16795,19482,36277,0,North Bound,South Bound,4181.64378186505
20,19,2022/03/16 07:00:00+00,McClintock Dr,Curry,Rio Salado,16818,17371,34189,0,North Bound,South Bound,4061.48362076126
21,20,2022/04/13 07:00:00+00,Rio Salado,Hardy,Mill,2527,4799,7326,0,East Bound,West Bound,2786.3199345775
22,21,2022/03/02 07:00:00+00,Priest Dr,Rio Salado,University,13583,15141,28724,0,North Bound,South Bound,2770.97304339528
23,22,2018/03/29 00:00:00+00,5th St,Priest,Hardy,2638,1883,4521,1,East Bound,West Bound,2665.45231375435
24,23,2018/03/29 00:00:00+00,5th St,Hardy,Mill,2205,2184,4389,1,East Bound,West Bound,3737.38419165733
25,24,2018/03/29 00:00:00+00,5th St,Mill,College,3750,3527,7277,1,East Bound,West Bound,1545.11708181913
26,25,2022/03/02 07:00:00+00,Rio Salado,Mill,Rural,6983,8086,15069,0,East Bound,West Bound,4447.44416572062
27,26,2022/03/16 07:00:00+00,Rural Rd,Rio Salado,University,15494,16002,31496,0,North Bound,South Bound,2469.50019887782
28,27,2022/04/13 07:00:00+00,Rio Salado,Rural,McClintock,6866,6477,13343,,East Bound,West Bound,5294.57083188844
29,28,2022/02/15 07:00:00+00,Rio Salado,McClintock,Price,12063,12535,24598,0,East Bound,West Bound,5261.20799751462
30,29,2019/09/25 07:00:00+00,SB Price Rd,Rio Salado,University,0,11927,11927,0,Null,South Bound,2673.17758706153
31,156,2019/11/13 07:00:00+00,NB Price Rd,Rio Salado,University,11228,0,11228,,North Bound,Null,2625.27796066167
32,30,2022/03/23 07:00:00+00,University Dr,McClintock,Price,15737,16528,32265,0,East Bound,West Bound,5237.49570853021
33,31,2022/02/15 07:00:00+00,McClintock Dr,Rio Salado,University,14758,15420,30178,0,North Bound,South Bound,2635.11747186517
34,32,2022/03/02 07:00:00+00,University Dr,Rural,McClintock,13535,11641,25176,0,East Bound,West Bound,5264.06670231746
35,33,2018/03/29 07:00:00+00,College Ave,5th,University,2372,2239,4611,1,North Bound,South Bound,1252.44206522133
36,34,2021/10/13 07:00:00+00,Hardy Dr,Rio Salado,University,2278,1964,4242,1,North Bound,South Bound,3253.03577485841
37,35,2022/02/17 00:00:00+00,52nd St,5th,University,2989,3437,6426,1,North Bound,South Bound,2598.09857569927
38,36,2022/03/02 07:00:00+00,University Dr,48th,Priest,11320,11653,22973,0,East Bound,West Bound,4684.59684200369
39,37,2022/03/02 07:00:00+00,University Dr,Priest,Mill,12898,12568,25466,0,East Bound,West Bound,6378.03383223247
40,38,2022/04/19 07:00:00+00,University Dr,Mill,Rural,10464,11171,21635,0,East Bound,West Bound,4174.70991654952
41,47,2019/11/14 07:00:00+00,McAllister Ave,Apache,Terrace,1984,2649,4633,1,North Bound,South Bound,1526.85051734509
42,40,2022/03/16 07:00:00+00,McClintock Dr,University,Apache,13865,14110,27975,0,North Bound,South Bound,2627.98791178342
43,41,2022/03/02 07:00:00+00,University Dr,Price,Evergreen,10268,10250,20518,0,East Bound,West Bound,2231.74365995134
44,42,2019/09/25 07:00:00+00,SB Price Rd,University,Apache,0,7102,7102,0,Null,South Bound,2624.54405658979
45,157,2019/11/13 07:00:00+00,NB Price Rd,University,Apache,6050,0,6050,,North Bound,Null,2628.18996713197
46,43,2022/02/23 07:00:00+00,Apache Blvd,Price,Tempe Canal,6904,6084,12988,0,East Bound,West Bound,1801.16875157375
47,44,2022/02/24 00:00:00+00,Apache Blvd,McClintock,Price,6082,6304,12386,0,East Bound,West Bound,5223.41685983496
48,45,2022/04/21 00:00:00+00,Apache Blvd,Rural,McClintock,7180,3780,10960,0,East Bound,West Bound,5260.33688899317
49,46,2022/02/23 07:00:00+00,Rural Rd,University,Apache,14963,14366,29329,0,North Bound,South Bound,2641.4972434615
50,39,2019/11/20 07:00:00+00,McAllister Ave,Terrace,University,2608,3393,6001,1,North Bound,South Bound,1303.50035860942
51,48,2019/11/20 07:00:00+00,Apache Blvd,Mill,Rural,7802,4457,12259,0,East Bound,West Bound,3277.19876055791
52,49,2022/04/19 07:00:00+00,Mill Ave,University,Apache,4844,8155,12999,0,North Bound,South Bound,2620.87920828608
53,50,2022/03/23 07:00:00+00,Hardy Dr,University,Broadway,4831,4779,9610,1,North Bound,South Bound,5280.64032333523
54,51,2018/01/10 00:00:00+00,13th St,Priest,Hardy,1190,1097,2287,1,East Bound,West Bound,2636.50321105252
55,52,2022/03/23 07:00:00+00,Priest Dr,University,Broadway,7705,12392,20097,0,North Bound,South Bound,5278.49769481298
56,53,2022/04/21 00:00:00+00,52nd St,University,Broadway,9723,6622,16345,1,North Bound,South Bound,4626.9150235884
57,54,2018/01/10 00:00:00+00,14th St,52nd,Priest,2043,2427,4470,1,East Bound,West Bound,2683.20832386474
58,55,2022/02/15 07:00:00+00,Broadway Rd,I-10,Priest,13032,14815,27847,0,East Bound,West Bound,2843.84097935758
59,56,2022/03/23 07:00:00+00,Broadway Rd,Priest,Mill,14051,14049,28100,0,East Bound,West Bound,6408.27123946486
60,57,2018/02/28 07:00:00+00,Roosevelt St,13th,Broadway,1170,1211,2381,1,East Bound,West Bound,2646.2972151404
61,58,2018/01/10 00:00:00+00,13th St,Hardy,Mill,1409,1627,3036,1,East Bound,West Bound,3768.22996194599
62,59,2022/04/13 07:00:00+00,Mill Ave,Apache,Broadway,9123,9013,18136,0,North Bound,South Bound,2691.85246396979
63,60,2022/04/20 07:00:00+00,College Ave,Apache,Broadway,2218,2306,4524,1,North Bound,South Bound,2621.43421442926
64,61,2022/02/16 07:00:00+00,Rural Rd,Apache,Broadway,12451,14759,27210,0,North Bound,South Bound,2641.96191907483
65,62,2022/04/23 07:00:00+00,Broadway Rd,Mill,Rural,12356,12911,25267,0,East Bound,West Bound,4139.93006517723
