,x,y,object_id,incident_id,date_time,year,street_name,cross_street,distance,junction_relation,total_injuries,total_fatalities,injury_severity,collision_manner,light_condition,weather,surface_condition,unit_type_1,age_1,gender_1,travel_direction_1,unit_action_1,violation_1,alcohol_use_1,drug_use_1,unit_type_2,age_2,gender_2,travel_direction_2,unit_action_2,violation_2,alcohol_use_2,drug_use_2,lat,long,date,month,day,time,hour,intersection,severity_class
8,-111.89032,33.40747,9,2584451,2012-01-02 03:30:00,2012,Price Rd,Broadway Rd,0.0,Intersection Non Interchange,0,0,No Injury,Sideswipe Same Direction,Dark Lighted,Clear,Dry,Driver,255,,North,Making Left Turn,Failed To Keep In Proper Lane,No Apparent Influence,No Apparent Influence,Driver,19,Female,North,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.40747,-111.89032,2012-01-02,1.0,2.0,03:30:00,3.0,Price Rd & Broadway Rd,None
16,-111.92629,33.4168300000001,17,2595917,2012-01-03 03:29:00,2012,Rural Rd,Lemon St,0.0,Intersection Related Non Interchange,0,0,No Injury,Left Turn,Dark Lighted,Clear,Dry,Driver,18,Female,East,Making Left Turn,Other,No Apparent Influence,No Apparent Influence,Driver,20,Male,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.41683,-111.92629,2012-01-03,1.0,3.0,03:29:00,3.0,Rural Rd & Lemon St,None
30,-111.92627,33.4075,31,2590529,2012-01-04 15:24:00,2012,Rural Rd,Broadway Rd,0.0,Intersection Non Interchange,0,0,No Injury,ANGLE (Front To Side)(Other Than Left Turn),Daylight,Clear,Dry,Driver,29,Female,South,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,21,Female,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.4075,-111.92627,2012-01-04,1.0,4.0,15:24:00,15.0,Rural Rd & Broadway Rd,None
49,-111.96952,33.4092400000001,50,2598828,2012-01-05 21:32:00,2012,Broadway Rd,52nd St,0.0,Intersection Non Interchange,0,0,No Injury,ANGLE (Front To Side)(Other Than Left Turn),Daylight,Clear,Dry,Driver,40,Male,East,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,29,Female,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40924,-111.96952,2012-01-05,1.0,5.0,21:32:00,21.0,Broadway Rd & 52nd St,None
58,-111.94054,33.42193,59,2595930,2012-01-06 16:30:00,2012,University Dr,Mill Ave,-163.152,Other Part Of Interchange,0,0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,Driver,46,Female,East,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,Driver,43,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42193,-111.94054,2012-01-06,1.0,6.0,16:30:00,16.0,University Dr & Mill Ave,None
63,-111.92629,33.4246600000001,64,2598818,2012-01-07 00:06:00,2012,Rural Rd,6th St,60.192,Intersection Related Non Interchange,0,0,No Injury,Other,Daylight,Clear,Dry,Driver,56,Male,Unknown,Backing,Inattention Distraction,No Apparent Influence,No Apparent Influence,Driver,58,Female,Unknown,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42466,-111.92629,2012-01-07,1.0,7.0,00:06:00,0.0,Rural Rd & 6th St,None
72,-111.92631,33.39345,73,2597969,2012-01-07 23:18:00,2012,Rural Rd,Southern Ave,180.048,Intersection Related Interchange,1,0,Possible Injury,Rear End,Daylight,Clear,Dry,Driver,18,Female,South,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,33,Male,South,Making Right Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.39345,-111.92631,2012-01-07,1.0,7.0,23:18:00,23.0,Rural Rd & Southern Ave,Minor
74,-111.9719,33.37821,75,2597965,2012-01-08 01:22:00,2012,Baseline Rd,Pointe Pkwy,25.872,Intersection Interchange,2,0,Possible Injury,Rear End,Daylight,Clear,Dry,Driver,51,Male,East,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,49,Female,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37821,-111.9719,2012-01-08,1.0,8.0,01:22:00,1.0,Baseline Rd & Pointe Pkwy,Minor
78,-111.92589,33.42202,79,2599095,2012-01-08 04:37:00,2012,University Dr,Rural Rd,125.136,Intersection Related Non Interchange,0,0,No Injury,Sideswipe Same Direction,Dark Lighted,Clear,Dry,Driver,40,Male,West,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,Driver,20,Female,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42202,-111.92589,2012-01-08,1.0,8.0,04:37:00,4.0,University Dr & Rural Rd,None
80,-111.94001,33.42193,81,2590531,2012-01-08 09:43:00,2012,University Dr,Mill Ave,0.0,Intersection Non Interchange,0,0,No Injury,Sideswipe Same Direction,Dark Lighted,Clear,Dry,Driver,111,Unknown,West,Going Straight Ahead,Failed To Keep In Proper Lane,No Apparent Influence,No Apparent Influence,Driver,22,Male,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42193,-111.94001,2012-01-08,1.0,8.0,09:43:00,9.0,University Dr & Mill Ave,None
